,date,rtgs_vol,rtgs_val,neft_vol,neft_val,aeps_vol,aeps_val,upi_vol,upi_val,imps_vol,imps_val,nach_credit_vol,nach_credit_val,nach_debit_vol,nach_debit_val,netc_vol,netc_val,bbps_vol,bbps_val,cts_vol,cts_val,nfs_through_atms_vol,nfs_through_atms_val,aeps_through_micro_atms_or_bcs_vol,aeps_through_micro_atms_or_bcs_val,credit_card_at_pos_and_e_commerce_vol,credit_card_at_pos_and_e_commerce_val,debit_card_at_pos_and_e_commerce_vol,debit_card_at_pos_and_e_commerce_val,ppis_card_at_pos_and_e_commerce_vol,ppis_card_at_pos_and_e_commerce_val,government_securities_clearing_vol,government_securities_clearing_val,forex_clearing_vol,forex_clearing_val,rupee_derivatives_vol,rupee_derivatives_val,credit_card_at_pos_vol,credit_card_at_pos_val,credit_card_at_e_commerce_vol,credit_card_at_e_commerce_val,debit_card_at_pos_vol,debit_card_at_pos_val,debit_card_at_e_commerce_vol,debit_card_at_e_commerce_val,ppis_card_at_pos_vol,ppis_card_at_pos_val,ppis_card_at_e_commerce_vol,ppis_card_at_e_commerce_val
77,17-08-2020,6.2,362002.33,114.85,93308.37,0.71,10.65,491.93,9319.65,85.45,8575.21,114.92,3961.32,62.68,5328.62,30.34,49.83,8.78,163.3,29.61,22430.58,103.76,4248.95,31.32,786.12,,,,,,,,,,,,,,,,,,,,,,,,
78,18-08-2020,5.58,311514.39,93.21,73257.32,0.87,12.76,492.12,8825.77,86.31,8419.76,106.02,2568.16,17.81,1762.01,30.91,53.76,8.05,144.69,27.18,21194.39,101.56,4151.92,31.11,792.91,,,,,,,,,,,,,,,,,,,,,,,,
79,19-08-2020,5.22,348698.29,91.34,74304.66,0.89,12.55,543.21,10080.86,84.6,8149.36,78.56,2873.6,8,1219.52,32.41,57.35,8.62,162.01,23.37,19325.91,98.57,3950.67,31.57,779.51,,,,,,,,,,,,,,,,,,,,,,,,
80,20-08-2020,4.84,343745.03,94.85,129691.79,0.85,12.2,556.27,10676.16,83.15,7885.48,73.47,1656.16,23.33,2498.88,33.31,58.98,8.26,161.74,22.03,17752.12,96.36,3847.42,29.12,702.12,,,,,,,,,,,,,,,,,,,,,,,,
81,21-08-2020,5.24,311733.32,82.38,73075.5,0.79,11.44,548.43,9893.06,82.84,7745.89,75.33,2577.48,47.87,1870.01,34.44,60.08,7.37,138.84,21.17,19706.52,99.98,3862.16,27.94,658.82,,,,,,,,,,,,,,,,,,,,,,,,
82,22-08-2020,,,10.22,5101.55,0.57,8.52,498.88,7381.02,67.47,5378.04,,,,,31.01,57.9,5.92,100.95,,,87.03,3192.95,21.38,502,,,,,,,,,,,,,,,,,,,,,,,,
83,23-08-2020,,,6.26,2309.26,0.4,5.74,468.13,6217.56,55.33,3644.85,,,,,28.52,54.61,5.18,73.66,,,65.25,2260.14,14.87,334.13,,,,,,,,,,,,,,,,,,,,,,,,
84,24-08-2020,6.59,333928.27,98.75,83752.1,0.74,10.92,551.02,10572.5,85.94,8463.53,133.17,5014.34,22.95,1804.59,32.16,53.43,8.23,169.5,29.89,23171.94,101.39,3984.09,28.8,686.18,,,,,,,,,,,,,,,,,,,,,,,,
85,25-08-2020,5.65,298166.46,84.35,84795.3,0.69,10.72,561.84,10383.43,84.25,8235.26,51.54,6865.6,21.88,2325.35,32.84,57.39,7.68,152.97,26.98,22412.89,95.73,3779.8,26.57,636.11,,,,,,,,,,,,,,,,,,,,,,,,
86,26-08-2020,5.4,325631.8,86.75,72173.3,0.59,8.96,552.49,10182.13,84.69,8089.01,143.62,3671.42,8.09,1089.32,34.52,60.68,6.99,140.48,23.87,19756.72,95.62,3745.77,22.55,536.68,,,,,,,,,,,,,,,,,,,,,,,,
